	total_exon_length
ChCC-v11018103m.g	2916
ChCC-v11018105m.g	4958
ChCC-v11018106m.g	1466
ChCC-v11018107m.g	2042
ChCC-v11018109m.g	1289
ChCC-v11018113m.g	728
ChCC-v11018114m.g	2086
ChCC-v11018116m.g	1657
ChCC-v11018118m.g	440
ChCC-v11018122m.g	3156
ChCC-v11018126m.g	3116
ChCC-v11018130m.g	11247
ChCC-v11018131m.g	314
ChCC-v11018133m.g	1484
ChCC-v11018135m.g	347
ChCC-v11018136m.g	4794
ChCC-v11018138m.g	1530
ChCC-v11018141m.g	1487
ChCC-v11018143m.g	1340
ChCC-v11018149m.g	399
ChCC-v11018153m.g	5201
ChCC-v11018154m.g	362
ChCC-v11018164m.g	178
ChCC-v11018165m.g	1858
ChCC-v11018170m.g	667
ChCC-v11018171m.g	4911
ChCC-v11018172m.g	4030
ChCC-v11018181m.g	5127
ChCC-v11018182m.g	2508
ChCC-v11018185m.g	908
ChCC-v11018189m.g	176
ChCC-v11018195m.g	895
ChCC-v11018196m.g	229
ChCC-v11018197m.g	229
ChCC-v11018198m.g	2120
ChCC-v11018199m.g	2581
ChCC-v11018200m.g	5353
ChCC-v11018201m.g	2182
ChCC-v11018202m.g	311
ChCC-v11018204m.g	847
ChCC-v11018205m.g	689
ChCC-v11018206m.g	404
ChCC-v11018208m.g	8461
ChCC-v11018209m.g	448
ChCC-v11018212m.g	5379
ChCC-v11018214m.g	203
ChCC-v11018216m.g	699
ChCC-v11018218m.g	191
ChCC-v11018221m.g	4018
ChCC-v11018225m.g	2249
ChCC-v11018227m.g	2428
ChCC-v11018230m.g	4425
ChCC-v11018231m.g	1753
ChCC-v11018233m.g	2770
ChCC-v11018235m.g	5462
ChCC-v11018236m.g	729
ChCC-v11018238m.g	4179
ChCC-v11018239m.g	226
ChCC-v11018242m.g	3246
ChCC-v11018244m.g	571
ChCC-v11018245m.g	1223
ChCC-v11018248m.g	1190
ChCC-v11018249m.g	4420
ChCC-v11018250m.g	2860
ChCC-v11018252m.g	438
ChCC-v11018257m.g	1883
ChCC-v11018258m.g	914
ChCC-v11018260m.g	254
ChCC-v11018261m.g	3003
ChCC-v11018264m.g	2740
ChCC-v11018268m.g	3075
ChCC-v11018269m.g	1492
ChCC-v11018270m.g	2956
ChCC-v11018273m.g	2460
ChCC-v11018274m.g	967
ChCC-v11018276m.g	914
ChCC-v11018278m.g	8698
ChCC-v11018280m.g	2637
ChCC-v11018283m.g	1525
ChCC-v11018287m.g	3801
ChCC-v11018290m.g	9389
ChCC-v11018292m.g	4146
ChCC-v11018293m.g	3266
ChCC-v11018296m.g	8415
ChCC-v11018298m.g	1283
ChCC-v11018301m.g	1060
ChCC-v11018302m.g	749
ChCC-v11018303m.g	1919
ChCC-v11018304m.g	4393
ChCC-v11018305m.g	5271
ChCC-v11018306m.g	1208
ChCC-v11018308m.g	3924
ChCC-v11018310m.g	188
ChCC-v11018311m.g	8511
ChCC-v11018312m.g	1110
ChCC-v11018316m.g	2217
ChCC-v11018317m.g	1316
ChCC-v11018319m.g	1360
ChCC-v11018320m.g	910
ChCC-v11018322m.g	2747
ChCC-v11018326m.g	1213
ChCC-v11018327m.g	1014
ChCC-v11018331m.g	1652
ChCC-v11018332m.g	2083
ChCC-v11018334m.g	3733
ChCC-v11018335m.g	384
ChCC-v11018337m.g	3305
ChCC-v11018338m.g	615
ChCC-v11018339m.g	1892
ChCC-v11018346m.g	1295
ChCC-v11018347m.g	881
ChCC-v11018352m.g	3627
ChCC-v11018353m.g	266
ChCC-v11018355m.g	336
ChCC-v11018356m.g	4115
ChCC-v11018359m.g	4750
ChCC-v11018360m.g	5077
ChCC-v11018362m.g	4577
ChCC-v11018363m.g	617
ChCC-v11018364m.g	2230
ChCC-v11018371m.g	1435
ChCC-v11018373m.g	339
ChCC-v11018374m.g	2081
ChCC-v11018377m.g	4241
ChCC-v11018378m.g	1217
ChCC-v11018379m.g	2310
ChCC-v11018382m.g	3943
ChCC-v11018384m.g	2757
ChCC-v11018385m.g	2305
ChCC-v11018388m.g	7286
ChCC-v11018389m.g	1520
ChCC-v11018391m.g	1606
ChCC-v11018395m.g	2279
ChCC-v11018397m.g	529
ChCC-v11018401m.g	1058
ChCC-v11018403m.g	1993
ChCC-v11018404m.g	3300
ChCC-v11018405m.g	517
ChCC-v11018407m.g	1823
ChCC-v11018408m.g	3148
ChCC-v11018409m.g	1973
ChCC-v11018410m.g	2798
ChCC-v11018412m.g	2558
ChCC-v11018413m.g	2137
ChCC-v11018416m.g	2295
ChCC-v11018418m.g	367
ChCC-v11018419m.g	3475
ChCC-v11018421m.g	379
ChCC-v11018422m.g	1186
ChCC-v11018425m.g	556
ChCC-v11018428m.g	2903
ChCC-v11018435m.g	1823
ChCC-v11018437m.g	1567
ChCC-v11018441m.g	5318
ChCC-v11018443m.g	2837
ChCC-v11018445m.g	4602
ChCC-v11018446m.g	2775
ChCC-v11018452m.g	3352
ChCC-v11018453m.g	2903
ChCC-v11018456m.g	4715
ChCC-v11018459m.g	9009
ChCC-v11018462m.g	3762
ChCC-v11018467m.g	1765
ChCC-v11018468m.g	12363
ChCC-v11018469m.g	3625
ChCC-v11018471m.g	3110
ChCC-v11018473m.g	2986
ChCC-v11018485m.g	1610
ChCC-v11018487m.g	4894
ChCC-v11018491m.g	755
ChCC-v11018492m.g	777
ChCC-v11018493m.g	1466
ChCC-v11018495m.g	871
ChCC-v11018499m.g	1766
ChCC-v11018500m.g	3078
ChCC-v11018502m.g	3383
ChCC-v11018506m.g	1603
ChCC-v11018507m.g	6259
ChCC-v11018508m.g	3286
ChCC-v11018509m.g	2151
ChCC-v11018512m.g	1025
ChCC-v11018513m.g	1485
ChCC-v11018519m.g	3654
ChCC-v11018520m.g	2584
ChCC-v11018521m.g	663
ChCC-v11018522m.g	2188
ChCC-v11018523m.g	2519
ChCC-v11018527m.g	1136
ChCC-v11018530m.g	3851
ChCC-v11018534m.g	1798
ChCC-v11018536m.g	2825
ChCC-v11018543m.g	3113
ChCC-v11018547m.g	1770
ChCC-v11018551m.g	3499
ChCC-v11018552m.g	2208
ChCC-v11018553m.g	3235
ChCC-v11018555m.g	7153
ChCC-v11018558m.g	5224
ChCC-v11018559m.g	2140
ChCC-v11018560m.g	1754
ChCC-v11018562m.g	1077
ChCC-v11018573m.g	2923
ChCC-v11018575m.g	2032
ChCC-v11018587m.g	8830
ChCC-v11018600m.g	317
ChCC-v11018603m.g	23877
ChCC-v11018605m.g	4827
ChCC-v11018607m.g	3153
ChCC-v11018609m.g	3134
ChCC-v11018610m.g	2895
ChCC-v11018611m.g	3750
ChCC-v11018612m.g	2424
ChCC-v11018614m.g	1739
ChCC-v11018615m.g	5172
ChCC-v11018617m.g	6054
ChCC-v11018618m.g	2605
ChCC-v11018619m.g	2549
ChCC-v11018620m.g	3982
ChCC-v11018621m.g	6127
ChCC-v11018622m.g	717
ChCC-v11018624m.g	4109
ChCC-v11018626m.g	1663
ChCC-v11018630m.g	2995
ChCC-v11018631m.g	3009
ChCC-v11018632m.g	3053
ChCC-v11018634m.g	3605
ChCC-v11018637m.g	476
ChCC-v11018638m.g	637
ChCC-v11018639m.g	2767
ChCC-v11018640m.g	1636
ChCC-v11018643m.g	360
ChCC-v11018645m.g	1490
ChCC-v11018646m.g	3111
ChCC-v11018647m.g	2466
ChCC-v11018649m.g	448
ChCC-v11018650m.g	3545
ChCC-v11018651m.g	2579
ChCC-v11018652m.g	4027
ChCC-v11018653m.g	8062
ChCC-v11018655m.g	5810
ChCC-v11018656m.g	1317
ChCC-v11018657m.g	1788
ChCC-v11018658m.g	2677
ChCC-v11018661m.g	2759
ChCC-v11018662m.g	3118
ChCC-v11018664m.g	3020
ChCC-v11018666m.g	869
ChCC-v11018667m.g	1182
ChCC-v11018669m.g	3716
ChCC-v11018673m.g	652
ChCC-v11018674m.g	11202
ChCC-v11018675m.g	3118
ChCC-v11018676m.g	11164
ChCC-v11018678m.g	9488
ChCC-v11018679m.g	9310
ChCC-v11018681m.g	7664
ChCC-v11018686m.g	6231
ChCC-v11018687m.g	6726
ChCC-v11018689m.g	4617
ChCC-v11018694m.g	3261
ChCC-v11018697m.g	1930
ChCC-v11018706m.g	3089
ChCC-v11018707m.g	4341
ChCC-v11018709m.g	1022
ChCC-v11018710m.g	3017
ChCC-v11018714m.g	4800
ChCC-v11018716m.g	5132
ChCC-v11018717m.g	2834
ChCC-v11018719m.g	1610
ChCC-v11018722m.g	2538
ChCC-v11018724m.g	2849
ChCC-v11018727m.g	1064
ChCC-v11018729m.g	3914
ChCC-v11018732m.g	2425
ChCC-v11018735m.g	2565
ChCC-v11018737m.g	7056
ChCC-v11018739m.g	5159
ChCC-v11018740m.g	1059
ChCC-v11018743m.g	7074
ChCC-v11018749m.g	1023
ChCC-v11018753m.g	1403
ChCC-v11018757m.g	3667
ChCC-v11018762m.g	409
ChCC-v11018766m.g	2738
ChCC-v11018768m.g	735
ChCC-v11018771m.g	225
ChCC-v11018773m.g	2039
ChCC-v11018775m.g	3952
ChCC-v11018780m.g	2391
ChCC-v11018783m.g	499
ChCC-v11018785m.g	1327
ChCC-v11018786m.g	6991
ChCC-v11018789m.g	5225
ChCC-v11018790m.g	6307
ChCC-v11018791m.g	7063
ChCC-v11018793m.g	5691
ChCC-v11018794m.g	881
ChCC-v11018796m.g	1619
ChCC-v11018797m.g	15229
ChCC-v11018798m.g	700
ChCC-v11018802m.g	3531
ChCC-v11018803m.g	1957
ChCC-v11018807m.g	6755
ChCC-v11018808m.g	537
ChCC-v11018809m.g	5263
ChCC-v11018811m.g	2405
ChCC-v11018812m.g	1528
ChCC-v11018813m.g	2400
ChCC-v11018815m.g	3472
ChCC-v11018816m.g	9208
ChCC-v11018817m.g	5132
ChCC-v11018818m.g	1343
ChCC-v11018821m.g	6656
ChCC-v11018823m.g	852
ChCC-v11018825m.g	2875
ChCC-v11018829m.g	5678
ChCC-v11018830m.g	2493
ChCC-v11018835m.g	2908
ChCC-v11018839m.g	2635
ChCC-v11018842m.g	1073
ChCC-v11018844m.g	2467
ChCC-v11018845m.g	1143
ChCC-v11018846m.g	2472
ChCC-v11018848m.g	2472
ChCC-v11018850m.g	2500
ChCC-v11018852m.g	1373
ChCC-v11018853m.g	1829
ChCC-v11018854m.g	3464
ChCC-v11018858m.g	2512
ChCC-v11018861m.g	3770
ChCC-v11018862m.g	1940
ChCC-v11018864m.g	3206
ChCC-v11018875m.g	2838
ChCC-v11018878m.g	3174
ChCC-v11018880m.g	3057
ChCC-v11018882m.g	4574
ChCC-v11018891m.g	2588
ChCC-v11018892m.g	1474
ChCC-v11018894m.g	3745
ChCC-v11018905m.g	833
ChCC-v11018908m.g	1469
ChCC-v11018909m.g	7699
ChCC-v11018911m.g	980
ChCC-v11018912m.g	2676
ChCC-v11018914m.g	5195
ChCC-v11018918m.g	6608
ChCC-v11018919m.g	4015
ChCC-v11018920m.g	2139
ChCC-v11018923m.g	2931
ChCC-v11018925m.g	247
ChCC-v11018926m.g	5284
ChCC-v11018927m.g	4471
ChCC-v11018930m.g	5148
ChCC-v11018933m.g	8798
ChCC-v11018934m.g	1576
ChCC-v11018935m.g	1240
ChCC-v11018940m.g	4243
ChCC-v11018942m.g	4702
ChCC-v11018943m.g	3406
ChCC-v11018945m.g	4180
ChCC-v11018947m.g	5216
ChCC-v11018949m.g	2649
ChCC-v11018951m.g	1195
ChCC-v11018954m.g	604
ChCC-v11018962m.g	3775
ChCC-v11018964m.g	2651
ChCC-v11018970m.g	3160
ChCC-v11018971m.g	5593
ChCC-v11018972m.g	4088
ChCC-v11018973m.g	1783
ChCC-v11018974m.g	1801
ChCC-v11018975m.g	1693
ChCC-v11018976m.g	378
ChCC-v11018979m.g	2169
ChCC-v11018988m.g	2353
ChCC-v11018989m.g	3599
ChCC-v11018990m.g	2058
ChCC-v11018991m.g	2055
ChCC-v11018993m.g	6476
ChCC-v11018994m.g	1387
ChCC-v11018995m.g	5996
ChCC-v11018996m.g	2667
ChCC-v11018997m.g	2743
ChCC-v11018999m.g	3490
ChCC-v11019000m.g	3843
ChCC-v11019001m.g	2971
ChCC-v11019003m.g	1309
ChCC-v11019005m.g	1138
ChCC-v11019006m.g	1206
ChCC-v11019007m.g	576
ChCC-v11019013m.g	2547
ChCC-v11019014m.g	1299
ChCC-v11019017m.g	2531
ChCC-v11019021m.g	3666
ChCC-v11019023m.g	1485
ChCC-v11019026m.g	1381
ChCC-v11019027m.g	3655
ChCC-v11019029m.g	1492
ChCC-v11019031m.g	2038
ChCC-v11019032m.g	1243
ChCC-v11019035m.g	360
ChCC-v11019040m.g	3502
ChCC-v11019045m.g	3352
ChCC-v11019047m.g	3770
ChCC-v11019048m.g	1418
ChCC-v11019053m.g	350
ChCC-v11019054m.g	484
ChCC-v11019056m.g	1018
ChCC-v11019060m.g	1189
ChCC-v11019062m.g	1901
ChCC-v11019077m.g	963
ChCC-v11019085m.g	3078
ChCC-v11019087m.g	4250
ChCC-v11019089m.g	1161
ChCC-v11019092m.g	6573
ChCC-v11019098m.g	2879
ChCC-v11019100m.g	6706
ChCC-v11019103m.g	990
ChCC-v11019107m.g	9438
ChCC-v11019109m.g	3765
ChCC-v11019110m.g	165
ChCC-v11019114m.g	6467
ChCC-v11019121m.g	1951
ChCC-v11019122m.g	3324
ChCC-v11019125m.g	312
ChCC-v11019126m.g	1967
ChCC-v11019129m.g	2036
ChCC-v11019132m.g	1820
ChCC-v11019135m.g	3639
ChCC-v11019137m.g	2771
ChCC-v11019138m.g	1784
ChCC-v11019141m.g	1187
ChCC-v11019142m.g	1066
ChCC-v11019143m.g	1051
ChCC-v11019146m.g	3864
ChCC-v11019147m.g	375
ChCC-v11019151m.g	810
ChCC-v11019154m.g	2545
ChCC-v11019157m.g	342
ChCC-v11019163m.g	4572
ChCC-v11019165m.g	6307
ChCC-v11019168m.g	1148
ChCC-v11019169m.g	845
ChCC-v11019173m.g	979
ChCC-v11019176m.g	1329
ChCC-v11019177m.g	977
ChCC-v11019178m.g	1166
ChCC-v11019180m.g	885
ChCC-v11019182m.g	1271
ChCC-v11019183m.g	1202
ChCC-v11019186m.g	5976
ChCC-v11019187m.g	861
ChCC-v11019188m.g	6568
ChCC-v11019189m.g	3321
ChCC-v11019190m.g	934
ChCC-v11019194m.g	4702
ChCC-v11019195m.g	1980
ChCC-v11019197m.g	2794
ChCC-v11019198m.g	2932
ChCC-v11019201m.g	822
ChCC-v11019203m.g	1071
ChCC-v11019205m.g	2643
ChCC-v11019208m.g	4438
ChCC-v11019210m.g	610
ChCC-v11019221m.g	1811
ChCC-v11019223m.g	871
ChCC-v11019232m.g	5900
ChCC-v11019233m.g	2350
ChCC-v11019237m.g	2957
ChCC-v11019239m.g	1045
ChCC-v11019241m.g	580
ChCC-v11019245m.g	3654
ChCC-v11019246m.g	2756
ChCC-v11019247m.g	4832
ChCC-v11019249m.g	1018
ChCC-v11019251m.g	4625
ChCC-v11019258m.g	2619
ChCC-v11019263m.g	2000
ChCC-v11019265m.g	10138
ChCC-v11019266m.g	1968
ChCC-v11019267m.g	3799
ChCC-v11019269m.g	7893
ChCC-v11019273m.g	1293
ChCC-v11019277m.g	4155
ChCC-v11019278m.g	4178
ChCC-v11019281m.g	1603
ChCC-v11019284m.g	3089
ChCC-v11019285m.g	3965
ChCC-v11019286m.g	14779
ChCC-v11019287m.g	5885
ChCC-v11019294m.g	6099
ChCC-v11019298m.g	6290
ChCC-v11019301m.g	2332
ChCC-v11019302m.g	1876
ChCC-v11019303m.g	1556
ChCC-v11019304m.g	2344
ChCC-v11019306m.g	6334
ChCC-v11019311m.g	3247
ChCC-v11019315m.g	377
ChCC-v11019320m.g	1307
ChCC-v11019321m.g	662
ChCC-v11019324m.g	2432
ChCC-v11019327m.g	478
ChCC-v11019329m.g	2047
ChCC-v11019332m.g	1485
ChCC-v11019334m.g	9362
ChCC-v11019335m.g	5699
ChCC-v11019337m.g	2641
ChCC-v11019340m.g	3031
ChCC-v11019341m.g	3127
ChCC-v11019342m.g	5574
ChCC-v11019345m.g	5701
ChCC-v11019347m.g	1952
ChCC-v11019348m.g	364
ChCC-v11019351m.g	3178
ChCC-v11019355m.g	3829
ChCC-v11019356m.g	3490
ChCC-v11019361m.g	399
ChCC-v11019362m.g	350
ChCC-v11019363m.g	2572
ChCC-v11019364m.g	2662
ChCC-v11019365m.g	3963
ChCC-v11019366m.g	3329
ChCC-v11019373m.g	1719
ChCC-v11019374m.g	1895
ChCC-v11019376m.g	2071
ChCC-v11019382m.g	3286
ChCC-v11019389m.g	3383
ChCC-v11019391m.g	3433
ChCC-v11019393m.g	1503
ChCC-v11019395m.g	2873
ChCC-v11019397m.g	651
ChCC-v11019399m.g	388
ChCC-v11019403m.g	1578
ChCC-v11019411m.g	1809
ChCC-v11019413m.g	2235
ChCC-v11019419m.g	4078
ChCC-v11019423m.g	3182
ChCC-v11019425m.g	603
ChCC-v11019432m.g	1351
ChCC-v11019433m.g	8016
ChCC-v11019434m.g	1507
ChCC-v11019435m.g	3165
ChCC-v11019436m.g	841
ChCC-v11019437m.g	577
ChCC-v11019438m.g	1092
ChCC-v11019441m.g	3644
ChCC-v11019443m.g	6563
ChCC-v11019445m.g	7948
ChCC-v11019449m.g	1863
ChCC-v11019451m.g	1397
ChCC-v11019452m.g	4038
ChCC-v11019453m.g	263
ChCC-v11019461m.g	1068
ChCC-v11019462m.g	858
ChCC-v11019465m.g	2256
ChCC-v11019467m.g	7235
ChCC-v11019472m.g	4478
ChCC-v11019474m.g	4486
ChCC-v11019476m.g	3624
ChCC-v11019477m.g	4977
ChCC-v11019478m.g	2223
ChCC-v11019479m.g	335
ChCC-v11019480m.g	2053
ChCC-v11019481m.g	540
ChCC-v11019489m.g	2418
ChCC-v11019491m.g	4491
ChCC-v11019496m.g	636
ChCC-v11019497m.g	2623
ChCC-v11019498m.g	2405
ChCC-v11019499m.g	3341
ChCC-v11019504m.g	1425
ChCC-v11019507m.g	1062
ChCC-v11019509m.g	473
ChCC-v11019511m.g	3108
ChCC-v11019512m.g	2657
ChCC-v11019515m.g	3051
ChCC-v11019516m.g	4061
ChCC-v11019517m.g	2356
ChCC-v11019519m.g	1505
ChCC-v11019523m.g	6219
ChCC-v11019525m.g	507
ChCC-v11019526m.g	1297
ChCC-v11019528m.g	613
ChCC-v11019529m.g	2242
ChCC-v11019531m.g	2638
ChCC-v11019538m.g	809
ChCC-v11019540m.g	2808
ChCC-v11019544m.g	1778
ChCC-v11019558m.g	4656
ChCC-v11019562m.g	291
ChCC-v11019563m.g	2075
ChCC-v11019564m.g	2377
ChCC-v11019566m.g	632
ChCC-v11019569m.g	2563
ChCC-v11019570m.g	5991
ChCC-v11019572m.g	2711
ChCC-v11019573m.g	5324
ChCC-v11019574m.g	5525
ChCC-v11019578m.g	5593
ChCC-v11019579m.g	3327
ChCC-v11019582m.g	4983
ChCC-v11019583m.g	1622
ChCC-v11019584m.g	2388
ChCC-v11019586m.g	520
ChCC-v11019589m.g	8525
ChCC-v11019590m.g	6370
ChCC-v11019592m.g	2953
ChCC-v11019593m.g	1647
ChCC-v11019594m.g	3749
ChCC-v11019596m.g	10529
ChCC-v11019599m.g	2372
ChCC-v11019601m.g	832
ChCC-v11019602m.g	522
ChCC-v11019604m.g	1347
ChCC-v11019606m.g	2842
ChCC-v11019607m.g	1979
ChCC-v11019610m.g	3636
ChCC-v11019616m.g	1170
ChCC-v11019619m.g	2420
ChCC-v11019622m.g	2338
ChCC-v11019624m.g	3089
ChCC-v11019635m.g	451
ChCC-v11019636m.g	1457
ChCC-v11019638m.g	507
ChCC-v11019639m.g	3074
ChCC-v11019642m.g	2736
ChCC-v11019644m.g	3580
ChCC-v11019646m.g	1455
ChCC-v11019648m.g	1918
ChCC-v11019649m.g	2940
ChCC-v11019652m.g	3695
ChCC-v11019656m.g	3383
ChCC-v11019657m.g	3327
ChCC-v11019660m.g	3380
ChCC-v11019661m.g	2981
ChCC-v11019663m.g	1738
ChCC-v11019670m.g	2876
ChCC-v11019673m.g	1914
ChCC-v11019677m.g	1570
ChCC-v11019678m.g	815
ChCC-v11019682m.g	834
ChCC-v11019684m.g	2527
ChCC-v11019689m.g	2727
ChCC-v11019690m.g	2296
ChCC-v11019695m.g	1679
ChCC-v11019701m.g	2735
ChCC-v11019705m.g	1192
ChCC-v11019706m.g	6931
ChCC-v11019708m.g	865
ChCC-v11019710m.g	3454
ChCC-v11019713m.g	5403
ChCC-v11019717m.g	6087
ChCC-v11019719m.g	3774
ChCC-v11019720m.g	5356
ChCC-v11019722m.g	1446
ChCC-v11019726m.g	2523
ChCC-v11019727m.g	4169
ChCC-v11019728m.g	882
ChCC-v11019729m.g	325
ChCC-v11019730m.g	3444
ChCC-v11019731m.g	2726
ChCC-v11019732m.g	251
ChCC-v11019733m.g	3070
ChCC-v11019735m.g	1732
ChCC-v11019736m.g	566
ChCC-v11019738m.g	2039
ChCC-v11019747m.g	7275
ChCC-v11019751m.g	2881
ChCC-v11019752m.g	2349
ChCC-v11019754m.g	860
ChCC-v11019756m.g	3601
ChCC-v11019757m.g	265
ChCC-v11019758m.g	3401
ChCC-v11019759m.g	667
ChCC-v11019761m.g	303
ChCC-v11019764m.g	2950
ChCC-v11019765m.g	577
ChCC-v11019769m.g	6563
ChCC-v11019771m.g	1311
ChCC-v11019772m.g	1805
ChCC-v11019779m.g	522
ChCC-v11019780m.g	7697
ChCC-v11019781m.g	603
ChCC-v11019783m.g	924
ChCC-v11019785m.g	614
ChCC-v11019786m.g	281
ChCC-v11019787m.g	7623
ChCC-v11019791m.g	3228
ChCC-v11019792m.g	8812
ChCC-v11019794m.g	2458
ChCC-v11019799m.g	7806
ChCC-v11019801m.g	3484
ChCC-v11019802m.g	1427
ChCC-v11019803m.g	1380
ChCC-v11019804m.g	2713
ChCC-v11019806m.g	2364
ChCC-v11019807m.g	2721
ChCC-v11019808m.g	6340
ChCC-v11019815m.g	1988
ChCC-v11019816m.g	473
ChCC-v11019817m.g	2096
ChCC-v11019819m.g	3819
ChCC-v11019820m.g	4066
ChCC-v11019821m.g	1099
ChCC-v11019825m.g	6486
ChCC-v11019826m.g	1929
ChCC-v11019831m.g	3268
ChCC-v11019836m.g	2051
ChCC-v11019837m.g	10988
ChCC-v11019840m.g	1693
ChCC-v11019842m.g	2185
ChCC-v11019846m.g	2172
ChCC-v11019847m.g	3615
ChCC-v11019853m.g	1664
ChCC-v11019860m.g	1577
ChCC-v11019864m.g	2751
ChCC-v11019870m.g	3455
ChCC-v11019877m.g	2139
ChCC-v11019879m.g	5010
ChCC-v11019880m.g	1600
ChCC-v11019882m.g	1835
ChCC-v11019883m.g	6164
ChCC-v11019884m.g	4019
ChCC-v11019886m.g	337
ChCC-v11019887m.g	7944
ChCC-v11019890m.g	263
ChCC-v11019891m.g	3851
ChCC-v11019892m.g	1606
ChCC-v11019894m.g	3491
ChCC-v11019896m.g	2205
ChCC-v11019898m.g	1491
ChCC-v11019900m.g	3384
ChCC-v11019901m.g	3336
ChCC-v11019902m.g	1022
ChCC-v11019907m.g	2685
ChCC-v11019908m.g	308
ChCC-v11019909m.g	1394
ChCC-v11019910m.g	727
ChCC-v11019911m.g	1706
ChCC-v11019915m.g	325
ChCC-v11019916m.g	1018
ChCC-v11019917m.g	4507
ChCC-v11019918m.g	9385
ChCC-v11019921m.g	1726
ChCC-v11019922m.g	3231
ChCC-v11019925m.g	976
ChCC-v11019926m.g	11116
ChCC-v11019927m.g	2068
ChCC-v11019929m.g	1308
ChCC-v11019931m.g	271
ChCC-v11019932m.g	286
ChCC-v11019934m.g	91
ChCC-v11019935m.g	418
ChCC-v11019936m.g	552
ChCC-v11019937m.g	4340
ChCC-v11019940m.g	3680
ChCC-v11019944m.g	584
ChCC-v11019950m.g	182
ChCC-v11019951m.g	206
ChCC-v11019953m.g	4722
ChCC-v11019955m.g	4709
ChCC-v11019957m.g	622
ChCC-v11019959m.g	466
ChCC-v11019960m.g	477
ChCC-v11019961m.g	1917
ChCC-v11019966m.g	214
ChCC-v11019967m.g	7102
ChCC-v11019969m.g	6660
ChCC-v11019971m.g	342
ChCC-v11019973m.g	517
ChCC-v11019979m.g	3119
ChCC-v11019982m.g	614
ChCC-v11019988m.g	2798
ChCC-v11019991m.g	1161
ChCC-v11019993m.g	3117
ChCC-v11019994m.g	490
ChCC-v11019998m.g	188
ChCC-v11019999m.g	167
ChCC-v11020008m.g	205
ChCC-v11020010m.g	242
ChCC-v11020015m.g	839
ChCC-v11020016m.g	1243
ChCC-v11020018m.g	3737
ChCC-v11020021m.g	2530
ChCC-v11020024m.g	1729
ChCC-v11020026m.g	4082
ChCC-v11020028m.g	527
ChCC-v11020030m.g	958
ChCC-v11020033m.g	1214
ChCC-v11020034m.g	2451
ChCC-v11020038m.g	962
ChCC-v11020041m.g	12199
ChCC-v11020042m.g	913
ChCC-v11020043m.g	2380
ChCC-v11020050m.g	461
ChCC-v11020052m.g	1155
ChCC-v11020053m.g	6578
ChCC-v11020058m.g	4550
ChCC-v11020059m.g	1119
ChCC-v11020061m.g	2987
ChCC-v11020062m.g	2309
ChCC-v11020066m.g	2825
ChCC-v11020069m.g	715
ChCC-v11020070m.g	1310
ChCC-v11020073m.g	2051
ChCC-v11020074m.g	2702
ChCC-v11020076m.g	1619
ChCC-v11020077m.g	499
ChCC-v11020081m.g	2307
ChCC-v11020082m.g	2712
ChCC-v11020087m.g	1730
ChCC-v11020089m.g	1794
ChCC-v11020090m.g	2819
ChCC-v11020092m.g	2274
ChCC-v11020102m.g	2762
ChCC-v11020105m.g	4348
ChCC-v11020108m.g	3636
ChCC-v11020112m.g	2467
ChCC-v11020113m.g	1938
ChCC-v11020115m.g	7571
ChCC-v11020116m.g	1475
ChCC-v11020118m.g	896
ChCC-v11020119m.g	204
ChCC-v11020121m.g	1914
ChCC-v11020123m.g	1963
ChCC-v11020125m.g	3171
ChCC-v11020127m.g	1071
ChCC-v11020128m.g	683
ChCC-v11020129m.g	1530
ChCC-v11020131m.g	1622
ChCC-v11020133m.g	3023
ChCC-v11020134m.g	2844
ChCC-v11020135m.g	3347
ChCC-v11020136m.g	14290
ChCC-v11020138m.g	2990
ChCC-v11020140m.g	1259
ChCC-v11020144m.g	626
ChCC-v11020145m.g	940
ChCC-v11020147m.g	1766
ChCC-v11020150m.g	11024
ChCC-v11020151m.g	3787
ChCC-v11020152m.g	1486
ChCC-v11020153m.g	2734
ChCC-v11020154m.g	5385
ChCC-v11020155m.g	3447
ChCC-v11020162m.g	1843
ChCC-v11020165m.g	911
ChCC-v11020166m.g	2228
ChCC-v11020167m.g	1348
ChCC-v11020168m.g	2899
ChCC-v11020170m.g	1783
ChCC-v11020172m.g	3721
ChCC-v11020174m.g	1798
ChCC-v11020175m.g	2647
ChCC-v11020178m.g	3518
ChCC-v11020179m.g	391
ChCC-v11020180m.g	5222
ChCC-v11020181m.g	3205
ChCC-v11020182m.g	794
ChCC-v11020184m.g	501
ChCC-v11020186m.g	2757
ChCC-v11020187m.g	1997
ChCC-v11020188m.g	2432
ChCC-v11020193m.g	2147
ChCC-v11020194m.g	1868
ChCC-v11020196m.g	1669
ChCC-v11020197m.g	1982
ChCC-v11020200m.g	3240
ChCC-v11020201m.g	4306
ChCC-v11020202m.g	1706
ChCC-v11020206m.g	3757
ChCC-v11020207m.g	1698
ChCC-v11020211m.g	1238
ChCC-v11020212m.g	2525
ChCC-v11020217m.g	2772
ChCC-v11020218m.g	677
ChCC-v11020220m.g	1467
ChCC-v11020221m.g	339
ChCC-v11020222m.g	1825
ChCC-v11020223m.g	1470
ChCC-v11020228m.g	1912
ChCC-v11020230m.g	2017
ChCC-v11020234m.g	2687
ChCC-v11020235m.g	2361
